date,event,category,organization,description,impact_level,compute_flops,source_url,notes
2012-09-30,AlexNet,model,Google/Toronto,ImageNet breakthrough with deep CNNs,high,1e16,https://papers.nips.cc/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html,Catalyzed deep learning revolution
2014-06-10,GAN,research,Montreal,Generative Adversarial Networks introduced,high,,https://arxiv.org/abs/1406.2661,New paradigm for generation
2014-09-10,Sequence-to-Sequence,research,Google,Neural machine translation breakthrough,medium,,https://arxiv.org/abs/1409.3215,Foundation for transformers
2015-12-11,AlphaGo,milestone,DeepMind,Defeats European Go champion,critical,1e18,https://www.nature.com/articles/nature16961,First major game AI breakthrough
2016-03-15,AlphaGo Lee,milestone,DeepMind,Defeats world champion Lee Sedol 4-1,critical,1e18,https://www.deepmind.com/research/highlighted-research/alphago,Mainstream AI awareness moment
2017-06-12,Attention Is All You Need,research,Google,Transformer architecture introduced,critical,,https://arxiv.org/abs/1706.03762,Foundation of modern LLMs
2017-12-05,AlphaZero,milestone,DeepMind,Masters chess/shogi/Go from scratch,high,5e18,https://www.science.org/doi/10.1126/science.aar6404,Generalized game learning
2018-06-11,GPT-1,model,OpenAI,117M parameters generative pretraining,medium,1e18,https://openai.com/research/language-unsupervised,Start of GPT series
2018-10-11,BERT,model,Google,Bidirectional transformer pretraining,high,1e18,https://arxiv.org/abs/1810.04805,NLP benchmark dominance
2019-02-14,GPT-2,model,OpenAI,1.5B parameters - initially not released,high,5e19,https://openai.com/research/better-language-models,Concerns about misuse
2019-07-23,RoBERTa,model,Facebook,Robustly optimized BERT,medium,5e19,https://arxiv.org/abs/1907.11692,BERT improvements
2019-09-17,Megatron-LM,model,NVIDIA,8.3B parameter model,medium,1e20,https://arxiv.org/abs/1909.08053,Large-scale training techniques
2020-01-23,GShard,research,Google,Trillion parameter models via sharding,high,,https://arxiv.org/abs/2006.16668,Scaling to trillions
2020-05-28,GPT-3,model,OpenAI,175B parameters - few-shot learning,critical,3.14e23,https://arxiv.org/abs/2005.14165,Emergent capabilities
2020-12-30,AlphaFold 2,milestone,DeepMind,Solves protein folding problem,critical,1e20,https://www.nature.com/articles/s41586-021-03819-2,Major scientific breakthrough
2021-01-05,DALL-E,model,OpenAI,Text-to-image generation,high,1e21,https://openai.com/research/dall-e,Multimodal generation
2021-01-12,CLIP,model,OpenAI,Contrastive language-image pretraining,high,1e21,https://arxiv.org/abs/2103.00020,Vision-language foundation
2021-06-09,Codex,model,OpenAI,Code generation model,high,1e21,https://arxiv.com/abs/2107.03374,Powers GitHub Copilot
2021-08-10,Chinchilla,research,DeepMind,Scaling laws refined - compute optimal,high,5e23,https://arxiv.org/abs/2203.15556,Training efficiency insights
2021-12-08,Gato,model,DeepMind,Generalist multi-task agent,high,1e21,https://arxiv.org/abs/2205.06175,Towards AGI architecture
2022-04-06,PaLM,model,Google,540B parameters with chain-of-thought,critical,2.5e24,https://arxiv.org/abs/2204.02311,Reasoning breakthrough
2022-04-12,Chinchilla Paper,research,DeepMind,Data-model size scaling laws,high,,https://arxiv.org/abs/2203.15556,Changed training paradigms
2022-05-11,OPT-175B,model,Meta,Open release of 175B model,medium,3e23,https://arxiv.org/abs/2205.01068,Open alternatives to GPT-3
2022-07-13,Minerva,model,Google,Mathematical reasoning model,high,1e23,https://arxiv.org/abs/2206.14858,Quantitative reasoning
2022-08-24,Stable Diffusion,model,Stability AI,Open source text-to-image,high,1e20,https://stability.ai/stable-diffusion,Democratized AI art
2022-11-30,ChatGPT,product,OpenAI,RLHF-tuned conversational AI,critical,1e22,https://openai.com/blog/chatgpt,Mainstream adoption explosion
2023-02-06,LLaMA,model,Meta,Open weights efficient models,high,2e23,https://arxiv.org/abs/2302.13971,Open model ecosystem
2023-02-07,Bing Chat,product,Microsoft,ChatGPT integrated into search,high,,https://blogs.microsoft.com/blog/2023/02/07/reinventing-search-with-a-new-ai-powered-microsoft-bing-and-edge-your-copilot-for-the-web/,Search integration race
2023-03-14,GPT-4,model,OpenAI,Multimodal model with strong reasoning,critical,2e25,https://arxiv.org/abs/2303.08774,Significant capability jump
2023-03-15,Claude,product,Anthropic,Constitutional AI assistant,high,1e23,https://www.anthropic.com/index/introducing-claude,Safety-focused alternative
2023-03-21,GitHub Copilot X,product,GitHub/OpenAI,GPT-4 powered code assistant,medium,,https://github.blog/2023-03-22-github-copilot-x-the-ai-powered-developer-experience/,Developer productivity tool
2023-03-22,Bard,product,Google,LaMDA-based conversational AI,medium,,https://blog.google/technology/ai/bard-google-ai-search-updates/,Google's ChatGPT response
2023-04-18,AutoGPT,research,Community,Autonomous AI agent framework,medium,,https://github.com/Significant-Gravitas/AutoGPT,Agentic AI trend
